,,,,,,,,,,,,,,,,,
CATÁLOGO NUMÉRICO DEL ANEXO 2 DE LA  RESOLUCIÓN QUE ESTABLECE EL MECANISMO PARA GARANTIZAR EL PAGO DE CONTRIBUCIONES EN MERCANCÍAS SUJETAS A  PRECIOS ESTIMADOS POR LA  SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO  CATÁLOGO.,,,,,,,,,,,,,,,,,
,,,,,, PRECIO  ESTIMADO  EN DÓLARES DE E.U.A POR UNIDAD  COMERCIAL  Y  POR ANTIGÜEDAD  DEL AÑO MODELO,,,,,,,,,,,
CATALOGO NUMÉRICO,FRACCION ARANCELARIA,NICO,MARCA,DESCRIPCION DE NICO,UNIDAD COMERCIAL,2009,2010,10 AÑOS O  MÁS,9 AÑOS,8 AÑOS,7 AÑOS, 6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
74,8701.20.02,,WESTERN STAR,"STAR 4700-4900/5700 SERIES 109""-132"" BBC STEEL CAB",Pza,,,,,,,,,,,,"90,750"
75,8701.20.02,,,"LOS DEMAS (TRACTOR DE CARRETERA PARA SEMIRREMOLQUE), PRECIOS ESTIMADOS APLICABLES A VEHICULOS EN CUYO AÑO-MODELO NO SE ESTABLECE DICHO PRECIO, ASI COMO PARA OTROS MODELOS Y MARCAS DE VEHICULOS NO LISTADOS, EN ESTA FRACCION ARANCELARIA",Pza,,,"13,930","21,218","24,397","29,345","31,452","39,718","47,662","56,132","65,903","89,281"
,8703.21.02,0,,"USADOS, EXCEPTO LO COMPRENDIDO EN LA FRACCIÓN ARANCELARIA
8703.21.01.",UNIDAD COMERCIAL,,,10 AÑOS O  MÁS,9 AÑOS,8 AÑOS,7 AÑOS,6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
,8703.21.02,,,A)  AUTOMOVILES,,,,,,,,,,,,,
,8703.21.02,,FORD,FORD,,,,,,,,,,,,,
76,8703.21.02,,FORD,FOCUS-4 CYL.,Pza,,,,,,,,,,,,"11,263"
77,8703.21.02,,FORD,FIESTA,Pza,,,,,,,,,,,,"9,838"
,8703.21.02,,SMART,SMART,,,,,,,,,,,,,
78,8703.21.02,,SMART,FORTWO-3 CYL.,Pza,,,,,,,,,,,,"10,729"
79,8703.21.02,,,"LOS DEMAS ≤1.0 lts, PASAJEROS. AUTOMOVIL A GASOLINA. MOTOR. PRECIOS ESTIMADOS APLICABLES A VEHICULOS EN CUYO AÑO-MODELO NO SE ESTABLECE DICHO PRECIO, ASI COMO PARA OTROS MODELOS Y MARCAS DE VEHICULOS NO LISTADOS, EN EL INCISO A) DE ESTA FRACCION ARANCELAR",Pza,,,,,,,,,,,,"10,610"
,8703.22.02,0,,USADOS.A)                               AUTOMOVILES,UNIDAD COMERCIAL,12 AÑOS O  MÁS,11 AÑOS,10 AÑOS,9 AÑOS,8 AÑOS,7 AÑOS,6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
,8703.22.02,,BMW,BMW,,,,,,,,,,,,,
80,8703.22.02,,BMW,I8,Pza,,,,,,,,,,"87,025","93,925","94,100"
,8703.22.02,,BUICK,BUICK,,,,,,,,,,,,,
81,8703.22.02,,BUICK,ENCORE,Pza,,,,,,,,,,,,"18,539"
,8703.22.02,,CADILLAC,CADILLAC,,,,,,,,,,,,,
82,8703.22.02,,CADILLAC,ELR,Pza,,,,,,,,,,"25,063",,
,8703.22.02,,CHEVROLET,CHEVROLET,,,,,,,,,,,,,
83,8703.22.02,,CHEVROLET,CRUZE-4 CYL,Pza,,,,,,,,,,"10,870","12,675","12,908"
84,8703.22.02,,CHEVROLET,MALIBU,Pza,,,,,,,,,,,,"13,981"
85,8703.22.02,,CHEVROLET,METR0-3CYL.,Pza,"1,050","1,250","1,425",,,,,,,,,
86,8703.22.02,,CHEVROLET,METR0-4 CYL.,Pza,"1,200","1,388","1,563","1,975",,,,,,,,
87,8703.22.02,,CHEVROLET,SONIC,Pza,,,,,,,,,,"9,688","11,242","13,045"
88,8703.22.02,,CHEVROLET,SPARK-4 CYL,Pza,,,,,,,,,,"7,175","8,708","10,069"
89,8703.22.02,,CHEVROLET,VOLT-4 CYL.,Pza,,,,,,,,,"14,275","16,213","18,063","21,063"
,8703.22.02,,DODGE,DODGE,,,,,,,,,,,,,
90,8703.22.02,,DODGE,DART-4 CYL,Pza,,,,,,,,,,"8,200","9,575",
,8703.22.02,,FIAT,FIAT,,,,,,,,,,,,,
91,8703.22.02,,FIAT,124 SPIDER,Pza,,,,,,,,,,,,"20,408"
92,8703.22.02,,FIAT,500-4 CYL,Pza,,,,,,,,,,,,"12,928"
,8703.22.02,,FORD,FORD,,,,,,,,,,,,,
93,8703.22.02,,FORD,FIESTA-4  CYL,Pza,,,,,,,,,,"7,738",,
94,8703.22.02,,FORD,FOCUS-4 CYL,,,,,,,,,,,,"10,569",
95,8703.22.02,,FORD,FUSION-4 CYL,Pza,,,,,,,,,,"12,363","13,688","15,175"
,8703.22.02,,HONDA,HONDA,,,,,,,,,,,,,
96,8703.22.02,,HONDA,CIVIC HATCHBACK,Pza,,,,,,,,,,,,"19,303"
97,8703.22.02,,HONDA,CR-Z-4 CYL.,Pza,,,,,,,,,"9,963","12,388","13,513",
98,8703.22.02,,HONDA,FIT-4  CYL.,Pza,,,,,,,,,"10,200",,"12,375","15,213"
99,8703.22.02,,HONDA,INSIGHT-3  CYL.,Pza,,,"4,850","5,275","5,825","6,525","8,250","9,875","10,583","12,200",,
,8703.22.02,,HYUNDAI,HYUNDAI,,,,,,,,,,,,,
100,8703.22.02,,HYUNDAI,ACCENT-4 CYL.,Pza,"1,000","1,088","1,538","1,700","1,933","2,275","2,913","3,575","4,111",,,
101,8703.22.02,,HYUNDAI,ELANTRA-4 CYL,Pza,,,,,,,,,,,,"12,800"
,8703.22.02,,KIA,KIA,,,,,,,,,,,,,
102,8703.22.02,,KIA,RIO-4  CYL.,Pza,,,,"1,575","2,025","2,225","3,413","3,850","4,428",,,
,8703.22.02,,MAZDA,MAZDA,,,,,,,,,,,,,
103,8703.22.02,,MAZDA,PR0TEGE-4 CYL.,Pza,"2,008","2,375","2,600","3,138","3,731","4,088",,,,,,
104,8703.22.02,,MAZDA,RX-8-ROTARY,Pza,,,,,,,"8,492","9,733","11,193",,,
,8703.22.02,,MINI,MINI,,,,,,,,,,,,,
105,8703.22.02,,MINI,COOPER-4 CYL.,Pza,,,,,,,,,,,,"22,150"
106,8703.22.02,,MINI,COOPER CLUBMAN,Pza,,,,,,,,,,,,"20,213"
107,8703.22.02,,MINI,COOPER COUNTRYMAN,Pza,,,,,,,,,,,,"21,442"
108,8703.22.02,,MINI,COOPER HARDTOP,Pza,,,,,,,,,,,,"17,688"
,8703.22.02,,MITSUBISHI,MITSUBISHI,,,,,,,,,,,,,
109,8703.22.02,,MITSUBISHI,I-MIEV,Pza,,,,,,,,,,"4,625",,
110,8703.22.02,,MITSUBISHI,MIRAGE-4  CYL.,Pza,"1,663","1,800","2,163","2,333","2,750",,,,,"5,700","6,813","7,975"
,8703.22.02,,SCION,SCION,,,,,,,,,,,,,
111,8703.22.02,,SCION,IQ-4  CYL.,Pza,,,,,,,,,,"7,475","8,125",
112,8703.22.02,,SCION,XA-4 CYL.,Pza,,,,,,,"5,825","6,650",,,,
113,8703.22.02,,SCION,XB-4 CYL.,Pza,,,,,,,"6,600","7,450","8,568",,,
,8703.22.02,,SMART,SMART,,,,,,,,,,,,,
114,8703.22.02,,SMART,FORTWO-3 CYL.,Pza,,,,,,,,,"6,992","7,200","8,583",
,8703.22.02,,SUZUKI,SUZUKI,,,,,,,,,,,,,
115,8703.22.02,,SUZUKI,SWIFT-4  CYL.,Pza,"1,050","1,200","1,475","1,663",,,,,,,,
,8703.22.02,,TOYOTA,TOYOTA,,,,,,,,,,,,,
116,8703.22.02,,TOYOTA,COROLLA IM,Pza,,,,,,,,,,,,"14,250"
117,8703.22.02,,TOYOTA,ECHO-4 CYL.,Pza,,,"3,188","3,438","3,813","4,113","4,913","5,838",,,,
118,8703.22.02,,TOYOTA,PRIUS-4  CYL.,Pza,,,,"5,800","6,325","6,800","9,500","11,300","12,995",,,
119,8703.22.02,,TOYOTA,YARIS-4  CYL.,Pza,,,,,,,,,"7,767","8,295","9,530","10,670"
120,8703.22.02,,TOYOTA,YARIS  IA,Pza,,,,,,,,,,,,"11,775"
,8703.22.02,,VOLVO,VOLVO,,,,,,,,,,,,,
121,8703.22.02,,VOLVO,C30-5 CYL. TURBO,Pza,,,,,,,,,"14,950",,,
122,8703.22.02,,,"LOS DEMAS MOTOR 1-1.5 lts PASAJEROS. AUTOMOVIL A GASOLINA.  PRECIOS ESTIMADOS APLICABLES A VEHICULOS EN CUYO AÑO-MODELO NO SE ESTABLECE DICHO PRECIO, ASI COMO PARA OTROS MODELOS Y MARCAS DE VEHICULOS NO LISTADOS, EN EL INCISO A) DE ESTA FRACCION ARANCELARIA",Pza,"1,457","1,517","2,350","2,988","3,772","4,338","6,238","7,284","9,669","14,854","16,685","18,982"
,8703.22.02,,,B) CAMIONETAS,,,,,,,,,,,,,
,8703.22.02,,CHEVROLET,CHEVROLET,,,,,,,,,,,,,
123,8703.22.02,,CHEVROLET,TRAX-4 CYL,Pza,,,,,,,,,,,"16,966","17,981"
,8703.22.02,,BUICK,BUICK,,,,,,,,,,,,,
124,8703.22.02,,BUICK,ENCORE,Pza,,,,,,,,,,"16,066","17,831",
125,8703.22.02,,BUICK,ESCAPE,Pza,,,,,,,,,,,,"19,725"
,8703.22.02,,JEEP,JEEP,,,,,,,,,,,,,
126,8703.22.02,,JEEP,RENEGADE,Pza,,,,,,,,,,,"15,144","16,242"
,8703.22.02,,LAND ROVER,LAND ROVER,,,,,,,,,,,,,
127,8703.22.02,,LAND ROVER,EVOQUE-4 CYL TURBO,Pza,,,,,,,,,,,,"39,238"
128,8703.22.02,,,"LOS DEMAS MOTOR 1-1.5 lts PASAJEROS. CAMIONETA A GASOLINA. PRECIOS ESTIMADOS APLICABLES A VEHICULOS EN CUYO AÑO-MODELO NO SE ESTABLECE DICHO PRECIO, ASI COMO PARA OTROS MODELOS Y MARCAS DE VEHICULOS NO LISTADOS, EN EL INCISO B) DE ESTA FRACCION ARANCELARIA",Pza,,,,,,,,,,"16,066","16,647","23,296"
,8703.23.02,0,,USADOS.,UNIDAD COMERCIAL,12 AÑOS O  MÁS,11 AÑOS,10 AÑOS,9 AÑOS,8 AÑOS,7 AÑOS,6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
,8703.23.02,,,A)  AUTOMOVILES,,,,,,,,,,,,,
,8703.23.02,,ACURA,ACURA,,,,,,,,,,,,,
129,8703.23.02,,ACURA,ILX-4  CYL,Pza,,,,,,,,,,"15,669","17,238","20,725"
130,8703.23.02,,ACURA,INTEGRA-4  CYL.,Pza,"4,088","4,392","5,348","5,739",,,,,,,,
131,8703.23.02,,ACURA,RSX-4 CYL.,Pza,,,,,"6,438","7,225","8,400","10,450",,,,
132,8703.23.02,,ACURA,TLX-I4,Pza,,,,,,,,,,,"23,513","23,825"
133,8703.23.02,,ACURA,TSX-4 CYL,Pza,,,,,,,"10,738","13,138","15,109","17,583",,
,8703.23.02,,ALFA ROMEO,ALFA ROMEO,,,,,,,,,,,,,
134,8703.23.02,,ALFA ROMEO,4C,Pza,,,,,,,,,,,,"49,150"
135,8703.23.02,,ALFA ROMEO,GUILIA,Pza,,,,,,,,,,,,"31,031"
136,8703.23.02,,ALFA ROMEO,GIULIA QUADRIFOGLIO,Pza,,,,,,,,,,,,"64,200"
,8703.23.02,,AUDI,AUDI,,,,,,,,,,,,,
137,8703.23.02,,AUDI,A3-4 CYL.,Pza,,,,,,,,,"17,179",,"24,844","28,575"
138,8703.23.02,,AUDI,A3-4 CYL. TURBO E- TRON,Pza,,,,,,,,,,,,"30,567"
139,8703.23.02,,AUDI,A4-4 CYL.,Pza,"3,138","3,617","4,625","5,108","6,692","7,669","9,738","12,000","13,800","16,147","19,942","28,025"
140,8703.23.02,,AUDI,A4-4 CYL. TURBO,Pza,,,,,,,,"13,308",,,,"28,563"
141,8703.23.02,,AUDI,A5-4 CYL. TURBO,Pza,,,,,,,,,"24,081","28,176","33,063","38,758"
142,8703.23.02,,AUDI,A4-V6,Pza,"3,533","3,858","5,544","6,056","7,413","8,531","11,305","13,790",,,,
143,8703.23.02,,AUDI,A6-4 CYL,Pza,,,,,,,,,,"25,319","28,675","35,306"
144,8703.23.02,,AUDI,A6-V6,Pza,"3,350","4,442","5,413","6,140","6,960","8,055","9,942","14,175","16,301","19,073","23,704","45,967"
145,8703.23.02,,AUDI,A7-V6,Pza,,,,,,,,,,"38,325","42,413","51,592"
